LocationID,ApogeeID,min_log(R51),min_log(R101),min_log(R151),min_log(R151/R101),min_log(R101/R51),max_log(xr),Identifier
198,5136,2M01424190-1939124,0.7114,0.8498,0.9279,-0.006999999999999999,-0.0732,1.3349,JRC
199,4425,2M01434427+6604240,0.7414,0.8053,0.8209,0.0156,0.064,1.5206,JRC
200,5136,2M01434686-1718217,0.8143,0.8434,0.8957,0.0401,-0.0311,1.2088,JRC
201,5111,2M01441486+3726475,0.8759,0.9867,0.9733,-0.2398,0.0052,1.5206,JRC
202,5136,2M01443396-1749560,0.5839,0.7189,0.8053,0.0804,0.1351,1.0775,JRC
203,5136,2M01444703-1858468,0.9883,1.1205,1.1894,0.0237,0.1077,0.6527,JRC
204,5136,2M01450899-1801153,0.7866,0.9305,1.0124,0.0818,0.1439,0.9751,JRC
205,5111,2M01502013+3852004,0.9766,1.0604,1.1037,-0.0935,0.0123,0.9102,JRC
206,5111,2M01502985+3818110,0.6694,0.6884,0.7724,0.08199999999999999,0.0163,1.3980000000000001,JRC
207,4217,2M01503861+8503305,0.5624,0.5196,0.4757,-0.084,-0.2144,1.6866,JRC
208,5111,2M01504269+3655040,0.9309999999999999,1.026,1.0783,0.0488,0.095,0.9714,JRC
209,5111,2M01504332+3757441,0.6409999999999999,0.4764,0.4592,-0.0172,-0.1762,1.5674,JRC
210,5060,2M01511093+6105372,0.871,0.9577,1.0125,-0.2126,0.0821,0.6023,JRC
211,5111,2M01521669+3815063,0.4804,0.6298,0.7163,0.0565,0.1389,1.0439,JRC
212,4472,2M01525005-0353374,0.4799,0.6194,0.7047,-0.2245,0.0247,1.1078,JRC
213,5060,2M01525435+6152344,0.9279,1.0569,1.1368,0.0582,0.0991,1.0789,JRC
214,5111,2M01530085+3729427,0.8926,1.0045,1.0623,-0.0783,0.1035,0.6775,JRC
215,4472,2M01531032-0131086,0.6785,0.7849,0.8347,0.0498,0.0895,1.4738,JRC
216,4472,2M01540092-0306019,0.3398,0.4703,0.5556,0.0581,0.1283,1.2605,JRC
217,5060,2M01540112+6211230,0.9737,0.7151,0.6284,-0.1274,-0.3153,1.5586,JRC
218,5060,2M01540426+6221236,0.6158,0.7363,0.8143,0.0498,0.1205,0.6205,JRC
219,5111,2M01541506+3614514,0.9329,0.8272,0.8486,-0.0143,-0.2469,1.5096,JRC
220,5060,2M01543697+6222109,0.82,0.8231,0.7986,-0.0245,-0.1411,1.6918,JRC
221,4472,2M01550987-0302298,0.6652,0.8048,0.8878,0.0644,0.1313,1.0090000000000001,JRC
222,5111,2M01551917+3749154,0.3009,0.4226,0.5035,0.0808,0.1206,0.6990000000000001,JRC
223,5111,2M01554369+3844364,0.9011,1.0031,1.0508,0.0159,0.102,0.7608,JRC
224,5111,2M01560793+3831493,0.7844,0.7577,0.7089,-0.0488,-0.0267,1.5598,JRC
225,4217,2M01561714+8458408,0.5091,0.6445,0.7279,-0.0218,-0.0319,0.948,JRC
226,5111,2M01561746+3729086,0.7002,0.4871,0.4809,-0.0149,-0.3892,1.7344,JRC
227,4472,2M01562189-0223547,0.4898,0.6273,0.7084,0.0811,0.1376,0.8702,JRC
228,5111,2M01563118+3715099,0.9570000000000001,1.0358,0.9515,-0.0843,0.0788,1.1874,JRC
229,4472,2M01570057-0216176,0.8952,0.8458,0.9155,0.0384,-0.1294,1.3749,JRC
230,5060,2M01572504+6247156,0.9815,0.7311,0.6184,-0.1845,-0.4837,1.6389,JRC
231,5060,2M01572718+6300502,0.4388,0.5834,0.6674,0.0838,0.1446,0.8656,JRC
232,4472,2M01582883-0402056,0.9815,1.1226,1.1832,0.0376,0.0966,0.7085,JRC
233,4472,2M01583450-0349002,0.4183,0.5149,0.6012,0.0852,0.0966,1.2194,JRC
234,4416,2M01593686+6533283,0.5645,0.3587,0.4429,0.0796,-0.6627,1.3414,JRC
235,4472,2M01593807-0213038,0.9587,1.0778,1.1277,-0.006,0.0217,1.5727,JRC
236,4416,2M02053182+6417133,0.9459,0.7666,0.7373,-0.0293,-0.2602,1.5522,JRC
237,4478,2M02060096+1342518,0.9775,1.0832,1.105,-0.0853,0.0779,1.4381,JRC
238,4478,2M02062460+1303219,0.8915,0.8803,0.8846,0.0043,-0.0112,1.3635,JRC
239,4478,2M02062664+1438073,0.496,0.6241,0.7,0.0585,-0.0519,1.0007,JRC
240,4309,2M02072992+5427212,0.4143,0.5471,0.6211,0.0646,0.1323,0.9861,JRC
241,4309,2M02082405+5454197,0.6976,0.8391,0.9199,0.0807,0.1415,0.9328,JRC
242,4478,2M02082894+1235031,0.7763,0.8767,0.9104,0.03,0.0258,1.1792,JRC
243,4478,2M02101477+1256234,0.7163,0.8185,0.8775,-0.0779,0.0661,1.5669,JRC
244,4478,2M02112068+1356170,0.4717,0.6129,0.6963,0.0144,0.0985,0.5973,JRC
245,4478,2M02112972+1313487,0.7792,0.9162,0.9895,-0.016,0.0912,0.5893,JRC
246,4478,2M02112973+1359128,0.5611,0.7071,0.7781,0.0525,0.1203,1.6483,JRC
247,4478,2M02121177+1334232,0.6765,0.6921,0.7696,-0.047,-0.1993,1.0833,JRC
248,4478,2M02125621+1329146,0.9981,1.0789,1.0883,0.0094,-0.0164,1.0868,JRC
249,5138,2M02132398-0519076,0.3847,0.5333,0.6064,0.0732,0.1486,1.3996,JRC
250,5138,2M02145818-0512455,0.5275,0.4821,0.5660000000000001,0.0839,-0.0454,1.5662,JRC
251,5138,2M02154713-0452082,0.8065,0.7343,0.8092,0.0749,-0.0723,1.4809,JRC
252,5138,2M02161345-0624484,0.6852,0.8253,0.9121,0.0867,0.1402,0.9209,JRC
253,5138,2M02163612-0544175,0.9708,1.0108,1.0309,0.0201,0.04,0.9578,JRC
254,5138,2M02181589-0405513,0.3717,0.5123,0.5954,0.0832,0.1406,1.0595,JRC
255,5138,2M02191633-0630572,0.4798,0.6226,0.7052,0.0826,0.1428,0.7051,JRC
256,5138,2M02211174-0625243,0.5135,0.6358,0.7116,0.0757,0.1224,0.7114,JRC
257,5138,2M02221362-0549194,0.6932,0.8313,0.8964,0.0651,0.1381,0.9746,JRC
258,5050,2M02263284-0914017,0.9462,0.8997,0.8568,-0.0429,-0.0465,1.4849,JRC
259,5050,2M02270400-0857321,0.8472,0.9766,0.9483,-0.0872,0.0084,1.4191,JRC
260,5050,2M02281495-0801135,0.9218,1.0326,1.095,0.0489,0.0271,0.8583,JRC
261,4271,2M02290160+6124289,0.3285,0.4473,0.5336,0.0861,0.1188,1.0667,JRC
262,5050,2M02291245-0756217,0.8987,0.9679,1.0364,-0.2648,0.0692,1.7216,JRC
263,5050,2M02292468-1006549,0.961,0.9225,0.8657,-0.0568,-0.086,1.3913,JRC
264,5050,2M02293039-0818019,0.6629,0.7296,0.8134,-0.0068,-0.1049,1.2594,JRC
265,5078,2M02300670+1005116,0.7587,0.7119,0.7616,0.0497,-0.0468,1.1454,JRC
266,5050,2M02301066-0847529,0.7622,0.8511,0.9274,-0.1389,0.08900000000000001,1.1242,JRC
267,5056,2M02302239+4812053,0.9827,1.1125,1.1943,0.0791,0.1298,0.8339,JRC
268,5056,2M02310210+4617383,0.8502,0.9935,1.0621,0.0434,-0.0449,1.7151,JRC
269,5050,2M02311339-0910485,0.9293,1.0488,1.037,-0.049,0.0825,1.6185,JRC
270,5050,2M02312255-0748433,0.9566,0.9405,1.0179,0.055,-0.2094,1.2245,JRC
271,5078,2M02313445+1133334,0.8717,0.9269,0.9481,0.0212,0.0552,1.0476,JRC
